township,date,soil_pH,rainfall_mm,temperature_c,local_grain_price,historic_yield_tons_per_ha,best_crop
Naypyidaw,2019-08-06,7.0,168.5,28.3,1450.0,4.16,Beans
Mandalay,2022-07-09,6.8,174.2,38.7,1925.0,3.58,Beans
Monywa,2018-01-11,8.0,509.8,21.9,1452.0,7.81,Rice
Monywa,2018-09-17,7.8,244.7,39.4,1242.0,6.77,Corn
Monywa,2021-03-07,6.2,351.0,31.3,1016.0,4.4,Corn
Yangon,2018-07-08,5.3,472.5,29.2,1786.0,1.87,Beans
Naypyidaw,2023-02-13,5.0,575.2,24.0,698.0,5.82,Wheat
Magway,2019-10-14,8.1,527.2,21.9,624.0,3.52,Rice
Bago,2018-08-01,6.4,190.3,34.0,1483.0,2.64,Beans
Mandalay,2018-01-05,5.7,56.0,31.9,1168.0,4.64,Sesame
Yangon,2021-11-08,7.9,593.0,28.4,606.0,1.93,Rice
Sagaing,2019-01-01,7.6,70.4,26.3,706.0,7.17,Sesame
Bago,2019-08-09,5.2,342.3,32.2,1027.0,2.15,Corn
Taungoo,2019-09-13,8.2,373.5,28.8,1845.0,2.52,Corn
Bago,2019-05-20,7.1,236.6,39.3,710.0,3.2,Corn
Magway,2018-12-12,5.9,364.6,34.4,1912.0,2.99,Corn
Yangon,2021-05-20,5.7,368.1,23.8,1469.0,3.74,Wheat
Taungoo,2023-07-21,6.4,152.2,32.8,1833.0,1.5,Beans
Yangon,2022-01-19,8.3,87.9,37.2,1048.0,4.98,Sesame
Bago,2023-04-14,8.3,464.5,20.3,893.0,1.47,Rice
Yangon,2018-09-05,8.3,244.8,25.7,1651.0,5.99,Corn
Sagaing,2022-07-06,5.3,326.6,32.3,965.0,2.94,Corn
Meiktila,2020-04-12,8.4,101.7,26.5,1645.0,5.11,Beans
Mandalay,2021-06-24,7.4,440.7,36.9,629.0,1.41,Rice
Sagaing,2019-04-21,6.6,369.2,26.2,1611.0,6.19,Corn
Mandalay,2018-02-21,7.5,423.9,23.3,1285.0,7.67,Rice
Magway,2019-11-15,6.3,452.4,37.5,677.0,6.13,Rice
Yangon,2021-10-04,7.8,170.5,21.3,1365.0,5.99,Wheat
Mandalay,2023-07-26,6.6,222.5,30.0,1052.0,4.97,Corn
Magway,2019-02-26,8.1,407.7,22.3,504.0,6.19,Rice
Yangon,2020-09-28,5.2,224.7,38.4,1941.0,2.25,Corn
Yangon,2022-09-14,5.8,156.5,38.3,1739.0,3.24,Beans
Pathein,2022-03-08,5.4,407.3,21.1,1274.0,2.56,Wheat
Yangon,2022-07-01,5.2,284.4,25.6,991.0,6.91,Corn
Meiktila,2023-02-14,5.0,128.4,31.3,1434.0,3.13,Beans
Naypyidaw,2022-02-17,7.1,301.1,35.5,1851.0,2.37,Corn
Taungoo,2019-09-09,5.0,251.9,24.7,1759.0,3.42,Wheat
Yangon,2021-10-04,5.0,397.8,37.0,656.0,6.09,Corn
Meiktila,2020-09-02,6.5,577.1,39.5,920.0,2.0,Rice
Yangon,2020-08-06,8.1,316.7,34.0,1962.0,3.61,Corn
Mandalay,2019-01-27,6.8,386.0,27.9,593.0,5.14,Corn
Bago,2020-08-27,6.0,512.0,38.5,1748.0,3.75,Beans
Monywa,2021-07-26,6.6,147.8,38.9,1655.0,1.95,Beans
Mandalay,2019-09-29,5.4,275.2,26.3,1037.0,1.85,Corn
Taungoo,2023-01-26,6.1,166.4,22.4,1529.0,2.1,Wheat
Pathein,2018-06-15,5.8,515.4,23.0,1953.0,5.98,Wheat
Sagaing,2023-10-05,5.2,186.3,36.4,1928.0,2.22,Beans
Naypyidaw,2020-10-20,5.3,70.1,35.9,593.0,1.85,Sesame
Taungoo,2019-06-20,5.7,246.3,33.7,626.0,7.56,Corn
Pathein,2020-11-26,8.2,54.2,39.9,1469.0,2.38,Sesame
Bago,2019-01-12,8.2,499.3,26.6,1191.0,1.3,Rice
Bago,2022-11-10,7.9,243.0,20.6,759.0,5.78,Wheat
Taungoo,2020-02-06,6.0,273.1,23.0,1425.0,5.3,Wheat
Magway,2023-08-06,6.4,334.9,21.2,706.0,2.96,Wheat
Taungoo,2023-11-24,5.9,596.5,30.9,1074.0,1.14,Beans
Monywa,2023-05-19,6.9,296.0,38.3,1083.0,4.52,Corn
Bago,2018-04-17,6.1,139.2,37.9,588.0,6.45,Beans
Naypyidaw,2023-12-09,6.3,354.6,24.7,872.0,2.12,Wheat
Taungoo,2020-12-27,6.9,476.8,34.7,1922.0,6.35,Rice
Pathein,2022-05-10,6.2,505.1,36.9,1389.0,2.23,Rice
Monywa,2018-04-26,7.5,217.5,31.4,1923.0,1.99,Corn
Naypyidaw,2021-06-19,5.6,32.4,21.1,530.0,5.21,Sesame
Naypyidaw,2018-01-03,6.2,372.3,36.1,766.0,3.39,Corn
Monywa,2018-09-01,5.1,356.1,38.3,1770.0,6.42,Corn
Monywa,2018-10-25,6.3,565.7,27.9,953.0,1.71,Rice
Bago,2019-10-08,7.6,267.8,32.8,976.0,4.41,Corn
Meiktila,2022-01-01,5.8,357.5,23.5,1533.0,3.15,Wheat
Bago,2019-12-29,7.6,569.8,39.0,1991.0,3.74,Rice
Pathein,2018-05-13,5.6,197.7,36.2,1459.0,5.28,Beans
Mandalay,2023-07-26,5.5,449.8,24.8,752.0,7.88,Wheat
Mandalay,2021-10-07,6.6,166.5,25.0,885.0,1.47,Beans
Mandalay,2018-01-06,5.2,268.5,28.4,1121.0,2.16,Corn
Sagaing,2021-12-09,6.9,69.8,29.6,1476.0,7.05,Sesame
Taungoo,2019-10-29,6.6,481.5,20.7,892.0,1.14,Rice
Mandalay,2018-10-31,6.2,533.9,23.2,1913.0,1.53,Rice
Mandalay,2021-10-16,7.1,372.1,29.7,1914.0,1.22,Corn
Bago,2022-11-14,5.5,69.7,24.1,1546.0,2.33,Sesame
Meiktila,2020-12-22,7.3,185.5,21.9,1324.0,3.75,Wheat
Naypyidaw,2019-09-22,5.2,12.3,21.8,1438.0,6.77,Sesame
Naypyidaw,2020-03-28,5.3,132.1,32.8,1210.0,7.84,Beans
Mandalay,2021-06-17,7.7,287.9,37.9,1463.0,2.86,Corn
Sagaing,2020-01-28,6.3,235.1,23.7,1160.0,1.31,Wheat
Magway,2020-07-15,7.9,342.9,23.0,645.0,5.88,Wheat
Monywa,2022-08-23,8.4,357.9,31.1,1728.0,6.89,Corn
Sagaing,2023-04-29,7.0,149.0,26.0,1781.0,3.76,Beans
Yangon,2023-08-19,7.0,314.9,31.4,721.0,7.88,Corn
Naypyidaw,2019-12-10,8.3,108.6,24.2,564.0,2.35,Wheat
Mandalay,2022-11-19,5.7,495.3,23.0,980.0,5.17,Wheat
Mandalay,2018-12-23,6.4,244.4,26.5,1187.0,2.93,Corn
Yangon,2023-11-11,7.7,76.4,23.0,1374.0,4.97,Sesame
Mandalay,2019-03-09,7.0,69.6,25.7,1016.0,4.75,Sesame
Sagaing,2020-12-17,6.3,296.5,32.2,913.0,1.26,Corn
Bago,2022-07-04,5.1,534.8,26.6,1619.0,2.66,Beans
Magway,2022-03-06,5.1,492.3,26.1,1237.0,2.96,Beans
Mandalay,2020-07-22,5.5,584.8,28.9,904.0,6.78,Beans
Sagaing,2019-01-01,5.7,134.7,36.5,1639.0,6.19,Beans
Monywa,2018-08-19,6.8,103.8,26.2,703.0,4.55,Beans
Meiktila,2018-04-29,5.6,526.4,24.0,550.0,1.4,Wheat
Yangon,2022-01-16,7.5,171.6,36.5,1453.0,4.54,Beans
Mandalay,2018-05-06,5.8,298.4,28.9,1212.0,7.72,Corn
Meiktila,2021-12-03,6.2,504.2,25.2,636.0,6.82,Rice
Yangon,2022-05-03,5.2,513.8,35.6,832.0,2.5,Beans
Taungoo,2020-04-26,5.9,251.6,20.4,1651.0,6.46,Wheat
Yangon,2023-04-26,8.2,391.9,32.0,879.0,1.06,Corn
Magway,2021-02-01,6.5,232.1,27.0,1200.0,2.76,Corn
Meiktila,2022-06-15,7.0,14.3,40.0,1759.0,7.77,Sesame
Meiktila,2021-03-03,6.0,73.8,21.3,1461.0,7.92,Sesame
Magway,2020-12-05,7.3,571.8,33.0,1276.0,2.32,Rice
Taungoo,2018-08-21,7.8,483.4,32.0,1521.0,5.62,Rice
Yangon,2023-07-31,8.5,163.1,28.4,553.0,3.72,Beans
Pathein,2020-02-17,6.2,430.9,33.7,1214.0,5.47,Rice
Monywa,2023-09-09,6.1,110.3,33.2,941.0,4.91,Beans
Naypyidaw,2019-06-09,7.6,437.9,31.2,1920.0,7.39,Rice
Monywa,2019-01-01,5.8,141.8,37.4,1830.0,3.94,Beans
Monywa,2020-12-03,7.0,283.6,22.4,1452.0,1.38,Wheat
Pathein,2018-10-19,6.7,124.8,22.4,1295.0,5.76,Wheat
Sagaing,2018-08-10,8.0,99.0,39.8,1981.0,3.4,Sesame
Naypyidaw,2019-08-10,6.1,432.2,35.6,1447.0,4.41,Rice
Bago,2021-07-07,7.2,12.8,25.5,753.0,6.33,Sesame
Bago,2023-06-29,7.7,470.1,22.6,1144.0,4.04,Rice
Sagaing,2023-05-10,6.3,32.3,24.0,521.0,3.61,Sesame
Monywa,2023-12-16,5.7,409.3,32.5,1540.0,2.74,Beans
Monywa,2021-07-02,5.5,236.3,31.8,1736.0,2.17,Corn
Magway,2021-04-06,6.6,317.0,30.5,1530.0,4.04,Corn
Bago,2021-11-04,8.5,299.2,35.0,1860.0,2.15,Corn
Sagaing,2018-03-20,5.8,439.0,22.6,1385.0,6.14,Wheat
Bago,2019-05-20,6.3,393.8,20.7,884.0,7.14,Wheat
Meiktila,2018-07-19,7.1,38.3,22.2,572.0,6.85,Sesame
Mandalay,2022-09-04,6.6,82.9,25.1,808.0,5.91,Sesame
Yangon,2021-05-18,6.5,69.6,30.4,1551.0,5.36,Sesame
Sagaing,2019-03-06,6.8,374.4,25.7,1247.0,6.49,Corn
Pathein,2020-03-29,7.7,500.6,39.5,1115.0,3.51,Rice
Bago,2018-06-11,6.9,547.1,33.8,852.0,4.36,Rice
Yangon,2018-12-31,8.2,502.8,33.4,635.0,2.04,Rice
Meiktila,2018-11-04,7.5,69.8,25.1,1983.0,2.62,Sesame
Magway,2020-12-17,6.6,68.9,23.5,936.0,1.28,Sesame
Monywa,2022-10-11,7.6,66.0,35.2,1778.0,1.32,Sesame
Bago,2021-09-08,6.3,268.3,32.4,639.0,7.15,Corn
Monywa,2020-01-20,5.4,246.1,29.1,1535.0,6.85,Corn
Naypyidaw,2022-09-24,7.3,480.2,22.3,588.0,5.87,Rice
Bago,2019-03-01,6.5,358.5,36.0,772.0,5.75,Corn
Sagaing,2022-01-08,7.1,518.9,37.6,1838.0,6.09,Rice
Naypyidaw,2023-06-23,5.4,252.7,20.9,971.0,2.83,Wheat
Meiktila,2020-07-06,8.4,405.2,26.8,1551.0,4.66,Rice
Mandalay,2022-11-08,7.3,156.7,26.9,1077.0,5.73,Beans
Meiktila,2018-08-12,5.0,561.3,30.1,1244.0,4.29,Beans
Bago,2018-11-03,7.6,199.2,26.6,1260.0,2.95,Beans
Meiktila,2022-03-31,6.4,148.6,29.2,1172.0,6.61,Beans
Naypyidaw,2023-01-06,6.1,588.6,34.9,1105.0,1.12,Rice
Yangon,2018-01-01,7.9,477.2,39.3,1835.0,5.46,Rice
Meiktila,2020-04-27,7.3,279.2,26.8,1725.0,6.78,Corn
Naypyidaw,2021-09-21,7.0,375.7,29.5,1574.0,5.6,Corn
Mandalay,2019-02-04,7.7,140.8,26.8,1947.0,6.81,Beans
Magway,2023-11-09,6.3,72.7,37.9,1733.0,4.45,Sesame
Sagaing,2019-03-15,5.9,125.6,22.4,823.0,6.97,Wheat
Taungoo,2021-10-16,5.4,254.5,38.5,1383.0,6.86,Corn
Naypyidaw,2023-02-17,7.3,574.2,22.7,1296.0,4.49,Rice
Yangon,2022-11-08,7.9,294.9,30.2,766.0,7.45,Corn
Pathein,2019-12-13,7.6,85.7,27.7,1824.0,5.2,Sesame
Meiktila,2022-04-25,6.5,369.3,33.9,1097.0,2.74,Corn
Monywa,2021-04-19,6.6,88.7,28.3,1623.0,5.9,Sesame
Magway,2021-07-09,7.5,562.0,32.7,1436.0,2.41,Rice
Magway,2021-11-15,8.2,88.3,34.2,767.0,7.83,Sesame
Meiktila,2021-08-13,7.5,458.9,31.2,1914.0,5.08,Rice
Sagaing,2023-12-27,6.0,509.9,36.2,538.0,4.66,Beans
Bago,2018-08-06,7.3,127.9,35.0,930.0,2.13,Beans
Magway,2019-08-23,7.9,417.5,25.9,548.0,6.28,Rice
Naypyidaw,2019-02-24,7.2,408.6,31.2,1471.0,2.57,Rice
Sagaing,2020-08-31,6.8,480.1,33.9,570.0,5.85,Rice
Sagaing,2022-05-07,6.5,475.0,33.7,581.0,7.76,Rice
Magway,2020-04-11,7.2,470.7,37.4,1867.0,6.81,Rice
Monywa,2020-03-15,7.7,578.9,25.9,1524.0,2.24,Rice
Bago,2019-12-13,7.6,80.4,20.8,896.0,2.95,Sesame
Bago,2020-11-10,5.0,285.1,38.7,1893.0,1.28,Corn
Pathein,2018-07-28,7.7,379.0,36.9,1685.0,3.11,Corn
Meiktila,2022-01-06,5.3,427.5,30.5,1281.0,7.7,Beans
Meiktila,2019-10-15,6.5,326.9,21.8,820.0,2.55,Wheat
Monywa,2021-09-18,6.3,138.9,35.1,1995.0,4.71,Beans
Yangon,2019-04-15,7.3,272.9,38.1,1432.0,5.3,Corn
Yangon,2021-08-07,6.3,479.8,22.3,1586.0,2.8,Rice
Yangon,2023-10-19,7.9,231.2,36.1,566.0,4.12,Corn
Taungoo,2021-08-05,6.8,569.4,23.3,1307.0,7.69,Rice
Yangon,2018-09-26,5.7,381.4,24.3,1753.0,5.8,Wheat
Taungoo,2022-11-18,7.3,564.5,34.9,1189.0,2.08,Rice
Monywa,2018-06-05,5.3,42.0,35.9,1362.0,4.91,Sesame
Taungoo,2020-11-25,6.4,276.2,28.1,1084.0,3.21,Corn
Mandalay,2023-12-31,5.0,435.0,21.3,568.0,6.22,Wheat
Mandalay,2022-01-05,8.2,72.6,35.7,630.0,3.11,Sesame
Naypyidaw,2022-04-12,6.4,399.8,29.5,705.0,4.73,Corn
Sagaing,2021-04-23,8.4,95.0,33.5,1693.0,7.4,Sesame
Monywa,2018-02-15,6.9,337.5,22.5,1395.0,1.04,Wheat
Meiktila,2018-12-15,6.1,451.5,38.1,1119.0,3.41,Rice
Meiktila,2019-08-07,5.6,140.3,36.7,772.0,2.36,Beans
Pathein,2018-08-11,8.0,560.1,39.9,1324.0,4.23,Rice
Magway,2018-10-03,5.9,126.5,31.6,1036.0,7.66,Beans
Taungoo,2019-02-14,6.0,51.2,23.9,993.0,4.4,Sesame
Magway,2019-09-17,7.0,225.1,26.3,507.0,4.0,Corn
Taungoo,2020-06-26,7.5,388.1,25.5,1519.0,3.52,Corn
Monywa,2023-05-20,6.6,221.7,26.1,764.0,4.86,Corn
Pathein,2018-12-02,7.9,516.6,22.8,895.0,4.77,Rice
Mandalay,2018-11-05,8.1,511.3,32.6,1368.0,6.69,Rice
Pathein,2020-05-21,8.2,335.4,30.9,1208.0,7.99,Corn
Bago,2022-02-07,6.4,535.9,31.8,701.0,7.0,Rice
Meiktila,2023-09-22,5.3,224.7,20.2,1946.0,2.67,Wheat
Pathein,2019-11-11,7.7,92.8,23.2,1349.0,4.96,Sesame
Bago,2023-06-04,8.3,33.8,35.2,897.0,2.62,Sesame
Taungoo,2018-06-25,7.3,315.6,35.8,1877.0,3.72,Corn
Yangon,2018-06-13,8.4,201.2,34.1,1744.0,4.65,Corn
Magway,2019-12-14,6.3,233.3,31.8,617.0,7.29,Corn
Magway,2022-03-22,8.4,141.5,28.1,1018.0,6.72,Beans
Naypyidaw,2018-01-28,6.8,92.0,23.3,1465.0,1.54,Sesame
Taungoo,2019-09-08,5.7,223.7,34.3,846.0,1.83,Corn
Monywa,2019-04-10,6.7,292.5,24.2,1750.0,2.13,Wheat
Yangon,2020-09-25,5.2,348.4,23.2,559.0,5.41,Wheat
Pathein,2019-08-25,5.2,162.4,23.6,1399.0,7.71,Wheat
Pathein,2018-03-18,8.1,439.5,36.4,825.0,7.63,Rice
Pathein,2023-04-15,8.0,110.6,36.6,1692.0,5.21,Beans
Bago,2023-09-24,5.9,437.3,26.9,1386.0,4.17,Beans
Taungoo,2022-03-30,6.3,74.1,24.0,1257.0,7.02,Sesame
Sagaing,2019-09-05,7.1,114.7,38.0,1817.0,5.2,Beans
Meiktila,2023-08-24,7.6,65.0,33.2,1309.0,7.31,Sesame
Yangon,2022-11-03,6.8,228.5,20.9,844.0,4.71,Wheat
Naypyidaw,2022-04-11,6.2,484.7,38.2,1364.0,6.86,Rice
Sagaing,2019-07-03,5.9,461.9,38.2,1397.0,1.59,Beans
Meiktila,2022-08-01,5.9,13.2,34.9,1284.0,1.05,Sesame
Meiktila,2018-01-30,6.3,131.2,36.1,660.0,3.86,Beans
Sagaing,2020-11-04,5.9,326.3,31.3,1988.0,5.28,Corn
Sagaing,2020-04-14,6.4,472.4,29.6,1332.0,3.59,Rice
Magway,2021-06-10,7.0,466.8,28.0,1796.0,1.97,Rice
Mandalay,2020-07-30,6.6,422.6,23.2,1101.0,2.5,Rice
Monywa,2018-08-02,5.6,579.1,20.1,718.0,1.64,Wheat
Pathein,2022-11-19,5.3,165.2,27.4,1587.0,5.26,Beans
Sagaing,2023-11-05,6.0,578.5,21.1,763.0,6.42,Wheat
Naypyidaw,2022-12-04,5.0,511.8,38.6,792.0,4.63,Beans
Pathein,2023-09-23,6.8,146.7,23.4,859.0,1.25,Wheat
Yangon,2019-10-07,5.3,172.8,28.0,1108.0,5.69,Beans
Taungoo,2023-10-22,5.1,425.1,38.4,1589.0,4.85,Beans
Meiktila,2021-11-26,6.2,491.2,24.5,1182.0,7.74,Rice
Sagaing,2018-01-20,5.9,250.2,22.1,941.0,1.51,Wheat
Mandalay,2023-10-04,8.3,526.9,36.3,1541.0,5.02,Rice
Sagaing,2023-06-04,7.7,456.9,39.2,1191.0,4.21,Rice
Pathein,2018-04-23,6.7,162.1,27.7,831.0,6.52,Beans
Taungoo,2021-07-17,6.4,218.3,30.7,895.0,5.91,Corn
Magway,2019-01-16,6.4,451.8,26.8,768.0,4.88,Rice
Monywa,2021-12-19,5.8,348.5,23.7,1895.0,6.22,Wheat
Taungoo,2023-08-06,7.6,148.6,24.8,844.0,2.86,Wheat
Taungoo,2021-12-29,5.5,72.9,38.4,1495.0,5.73,Sesame
Pathein,2018-01-28,7.7,329.5,20.8,1431.0,4.38,Wheat
Naypyidaw,2021-01-30,6.7,590.8,38.3,833.0,2.96,Rice
Pathein,2019-06-10,5.2,481.6,29.6,1254.0,4.79,Beans
Sagaing,2019-12-17,6.6,81.0,30.4,513.0,3.21,Sesame
Taungoo,2022-04-04,7.0,202.0,32.3,1323.0,2.82,Corn
Taungoo,2021-01-08,6.6,371.7,27.3,816.0,4.49,Corn
Monywa,2022-02-04,8.0,175.0,23.6,1364.0,1.92,Wheat
Taungoo,2019-02-14,7.5,484.4,31.1,794.0,6.99,Rice
Bago,2023-04-22,7.8,114.2,30.0,1774.0,7.97,Beans
Meiktila,2023-12-28,7.5,473.3,26.0,1352.0,4.93,Rice
Sagaing,2019-02-10,7.4,45.4,36.3,1445.0,4.34,Sesame
Naypyidaw,2021-10-02,5.9,222.6,31.1,1016.0,6.67,Corn
Sagaing,2019-05-12,6.2,411.0,32.1,1475.0,5.04,Rice
Meiktila,2019-12-16,8.4,177.9,26.5,1662.0,4.57,Beans
Naypyidaw,2018-11-18,6.3,179.0,32.6,751.0,2.01,Beans
Monywa,2022-09-24,7.2,347.3,37.0,743.0,1.5,Corn
Taungoo,2021-07-08,6.1,181.9,25.3,907.0,5.51,Beans
Naypyidaw,2022-01-27,7.6,317.4,29.0,1781.0,2.17,Corn
Bago,2020-08-19,7.3,564.9,34.0,750.0,1.56,Rice
Mandalay,2019-01-27,5.2,528.4,31.0,1096.0,1.18,Beans
Mandalay,2019-03-02,5.9,101.6,33.1,964.0,7.2,Beans
Taungoo,2021-03-09,6.6,84.6,30.5,553.0,2.19,Sesame
Monywa,2021-08-25,8.0,285.6,37.4,1323.0,7.54,Corn
Bago,2019-12-27,7.1,279.4,35.0,1152.0,7.14,Corn
Meiktila,2021-06-22,8.2,294.2,24.5,962.0,1.63,Wheat
Sagaing,2020-11-30,5.5,16.2,30.5,704.0,6.31,Sesame
Magway,2023-04-06,6.9,415.8,29.8,949.0,6.29,Rice
Sagaing,2021-04-14,7.1,480.1,31.0,1823.0,2.32,Rice
Sagaing,2022-06-05,5.9,431.8,32.9,831.0,6.8,Beans
Mandalay,2022-09-26,7.2,314.8,36.0,1541.0,5.29,Corn
Magway,2021-03-12,7.3,323.8,25.4,603.0,2.32,Corn
Bago,2021-04-01,5.4,278.7,29.1,1238.0,5.9,Corn
Monywa,2018-03-21,5.5,582.1,20.4,923.0,7.81,Wheat
Bago,2022-12-01,7.5,147.4,23.0,1013.0,4.46,Wheat
Magway,2023-08-04,8.5,283.6,35.8,1765.0,3.31,Corn
Bago,2018-08-18,5.9,241.5,30.9,1844.0,2.27,Corn
Magway,2022-04-12,7.9,82.0,35.4,1657.0,2.74,Sesame
Naypyidaw,2020-10-09,7.6,29.8,29.2,1282.0,6.4,Sesame
Taungoo,2023-04-21,6.4,577.1,38.7,1592.0,2.11,Rice
Meiktila,2023-11-04,5.4,293.9,26.0,578.0,3.52,Corn
Taungoo,2019-04-08,5.8,266.2,20.3,1377.0,6.56,Wheat
Sagaing,2020-09-22,5.0,34.8,35.7,1394.0,4.33,Sesame
Monywa,2019-01-02,5.9,305.0,33.7,1954.0,3.37,Corn
Yangon,2018-09-02,6.2,100.8,30.7,1232.0,1.75,Beans
Monywa,2021-11-23,7.8,268.8,23.9,1037.0,5.82,Wheat
Bago,2020-10-23,8.1,296.3,28.8,1546.0,3.06,Corn
Taungoo,2020-02-04,6.9,201.0,29.4,1398.0,7.07,Corn
Meiktila,2019-10-19,5.2,101.5,25.9,1051.0,2.84,Beans
Yangon,2023-09-04,6.3,119.5,20.4,1664.0,7.0,Wheat
Taungoo,2021-08-06,7.5,398.4,30.8,1286.0,3.71,Corn
Naypyidaw,2019-09-24,7.1,200.3,32.8,1285.0,1.77,Corn
Mandalay,2018-06-29,7.9,86.6,37.5,1228.0,2.41,Sesame
Mandalay,2018-05-11,7.0,503.4,33.2,1552.0,4.68,Rice
Magway,2018-07-21,6.3,367.5,21.4,813.0,7.51,Wheat
Naypyidaw,2018-11-24,6.6,387.0,27.2,1836.0,6.2,Corn
Monywa,2018-08-27,7.9,166.8,20.8,956.0,1.49,Wheat
Taungoo,2023-10-29,5.3,437.9,30.6,1289.0,2.33,Beans
Taungoo,2020-01-03,7.0,339.3,34.9,1365.0,6.36,Corn
Naypyidaw,2022-10-16,8.1,108.4,23.6,1006.0,3.81,Wheat
Bago,2023-12-27,8.5,271.4,27.0,1987.0,3.21,Corn
Monywa,2022-03-03,6.4,383.6,36.5,861.0,3.26,Corn
Meiktila,2020-05-26,6.3,334.6,34.9,1179.0,3.52,Corn
Sagaing,2018-01-01,7.5,589.9,31.9,1990.0,4.62,Rice
Magway,2018-01-27,6.1,140.9,37.1,1733.0,1.15,Beans
Magway,2023-09-26,6.9,556.3,23.1,1033.0,1.26,Rice
Bago,2020-12-21,6.3,353.5,24.7,638.0,6.68,Wheat
Sagaing,2020-06-09,7.6,436.9,35.9,1739.0,2.21,Rice
Pathein,2019-01-26,7.1,187.2,34.6,618.0,5.03,Beans
Yangon,2021-10-01,6.2,492.1,28.3,1805.0,7.07,Rice
Taungoo,2018-02-16,7.2,383.0,21.1,979.0,4.67,Wheat
Pathein,2019-09-05,6.1,421.7,23.1,1996.0,5.72,Rice
Naypyidaw,2023-08-30,5.3,264.8,35.7,1004.0,2.04,Corn
Naypyidaw,2018-07-21,6.9,164.9,28.0,1547.0,4.04,Beans
Bago,2023-05-24,7.0,297.8,33.0,1424.0,2.37,Corn
Meiktila,2020-10-05,5.8,167.1,28.6,1364.0,5.79,Beans
Mandalay,2022-08-22,6.5,215.5,26.4,536.0,5.16,Corn
Magway,2019-11-25,8.5,373.6,39.8,719.0,4.1,Corn
Yangon,2020-08-14,5.7,230.6,35.2,669.0,6.97,Corn
Yangon,2020-09-22,8.3,556.8,37.4,521.0,6.74,Rice
Mandalay,2021-06-03,6.6,23.4,24.2,806.0,4.77,Sesame
Meiktila,2020-11-25,6.9,377.6,39.8,1502.0,5.87,Corn
Sagaing,2023-11-28,5.2,110.5,25.7,1427.0,6.52,Beans
Yangon,2023-03-20,7.3,14.9,27.8,1778.0,2.9,Sesame
Monywa,2019-03-18,5.1,521.8,33.0,1071.0,2.62,Beans
Mandalay,2021-07-16,6.7,362.3,21.8,1950.0,2.39,Wheat
Meiktila,2018-03-30,5.1,554.1,26.1,1617.0,4.43,Beans
Yangon,2021-11-21,7.4,219.7,26.0,1968.0,7.97,Corn
Magway,2018-09-11,7.2,528.4,37.8,544.0,6.7,Rice
Meiktila,2021-02-21,5.8,211.7,27.9,1595.0,1.96,Corn
Meiktila,2020-07-20,6.5,348.0,28.5,1408.0,3.19,Corn
Naypyidaw,2019-06-24,5.7,91.8,30.8,1794.0,6.6,Sesame
Magway,2023-11-16,8.2,263.7,38.2,1484.0,6.39,Corn
Pathein,2019-10-10,6.1,338.8,39.0,976.0,1.83,Corn
Bago,2018-05-01,7.7,529.3,28.3,1165.0,3.88,Rice
Magway,2019-09-15,7.7,73.0,23.7,1418.0,6.34,Sesame
Magway,2020-08-03,7.1,146.2,20.5,1670.0,1.56,Wheat
Bago,2023-08-20,8.0,286.6,33.0,1081.0,2.29,Corn
Naypyidaw,2019-07-18,5.6,143.5,28.2,1888.0,7.78,Beans
Sagaing,2020-06-30,7.6,593.1,35.2,1891.0,1.46,Rice
Naypyidaw,2023-06-30,7.4,521.4,37.8,1664.0,3.99,Rice
Pathein,2022-04-08,7.5,242.5,38.8,1304.0,5.0,Corn
Yangon,2023-11-03,5.4,279.6,37.6,869.0,7.14,Corn
Meiktila,2022-06-09,8.4,33.2,27.7,1944.0,6.36,Sesame
Taungoo,2021-04-07,6.5,531.8,35.5,750.0,3.0,Rice
Magway,2018-08-12,7.4,543.2,29.3,636.0,5.52,Rice
Meiktila,2019-04-09,5.6,355.4,37.9,1090.0,4.82,Corn
Monywa,2023-01-21,5.1,277.7,37.9,1824.0,7.27,Corn
Mandalay,2020-10-21,6.1,392.7,34.2,1600.0,2.15,Corn
Mandalay,2019-04-13,7.5,384.1,21.7,1590.0,5.95,Wheat
Meiktila,2019-10-17,6.3,234.6,35.4,1348.0,7.39,Corn
Bago,2019-10-27,8.0,115.5,34.2,964.0,3.94,Beans
Naypyidaw,2021-03-28,7.2,79.4,22.6,1434.0,2.42,Sesame
Magway,2018-02-20,6.6,514.7,30.9,1824.0,1.04,Rice
Taungoo,2020-06-07,7.1,290.7,28.2,1400.0,1.56,Corn
Taungoo,2021-02-13,7.2,339.0,36.5,722.0,1.34,Corn
Monywa,2018-05-31,5.5,29.1,31.6,997.0,5.22,Sesame
Mandalay,2018-07-20,5.4,596.3,23.2,1491.0,2.99,Wheat
Pathein,2019-12-28,8.4,452.1,27.2,1653.0,1.25,Rice
Monywa,2022-02-18,8.1,494.0,35.2,597.0,6.9,Rice
Naypyidaw,2019-07-06,5.4,517.1,26.6,815.0,3.9,Beans
Taungoo,2018-08-27,5.4,440.5,32.6,1225.0,7.91,Beans
Pathein,2021-03-22,6.5,510.2,25.2,1435.0,5.03,Rice
Bago,2023-07-27,6.8,382.8,29.9,1414.0,2.26,Corn
Magway,2020-03-03,5.0,24.2,32.5,1772.0,1.83,Sesame
Pathein,2022-08-26,6.4,206.9,31.2,517.0,5.46,Corn
